
#     1     2      3          4                        5         6         7    8  
# Fecha, Zona, Local, Visitante,  resultado (L, V, E), set1 L-V, set2 L-V, ... 
# --------------------------------------------------------------------------------

17, Zona B, Victorica - Victorica, Lavalle - Grimau, L, 25-21
24, Zona B, Demian - Lemberg, Lavalle - Grimau, L, 25-24






